field_1,Beheertype,Ned_naam_NDFF,Wet_naam_NDFF_oud,Wet_naam_NDFF_nieuw,ndff_taxon_uri_oud,ndff_taxon_uri_nieuw,Gewijzigd,Unnamed: 0,ned_naam,wet_naam,identity,group_identity,ned_soortgroep,wet_soortgroep
"554",N06.02,Draadrus,Juncus filiformis,Juncus filiformis,http://ndff-ecogrid.nl/taxonomy/taxa/juncusfiliformis,http://ndff-ecogrid.nl/taxonomy/taxa/juncusfiliformis,NEE,"41755.0",Draadrus,Juncus filiformis,http://ndff-ecogrid.nl/taxonomy/taxa/juncusfiliformis,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"555",N06.02,Draadzegge,Carex lasiocarpa,Carex lasiocarpa,http://ndff-ecogrid.nl/taxonomy/taxa/carexlasiocarpa,http://ndff-ecogrid.nl/taxonomy/taxa/carexlasiocarpa,NEE,"13470.0",Draadzegge,Carex lasiocarpa,http://ndff-ecogrid.nl/taxonomy/taxa/carexlasiocarpa,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"556",N06.02,Geelhartje,Linum catharticum,Linum catharticum,http://ndff-ecogrid.nl/taxonomy/taxa/linumcatharticum,http://ndff-ecogrid.nl/taxonomy/taxa/linumcatharticum,NEE,"45533.0",Geelhartje,Linum catharticum,http://ndff-ecogrid.nl/taxonomy/taxa/linumcatharticum,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"557",N06.02,Groenknolorchis,Liparis loeselii,Liparis loeselii,http://ndff-ecogrid.nl/taxonomy/taxa/liparisloeselii,http://ndff-ecogrid.nl/taxonomy/taxa/liparisloeselii,NEE,"45621.0",Groenknolorchis,Liparis loeselii,http://ndff-ecogrid.nl/taxonomy/taxa/liparisloeselii,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"558",N06.02,Klein blaasjeskruid,Utricularia minor,Utricularia minor,http://ndff-ecogrid.nl/taxonomy/taxa/utriculariaminor,http://ndff-ecogrid.nl/taxonomy/taxa/utriculariaminor,NEE,"84549.0",Klein blaasjeskruid,Utricularia minor,http://ndff-ecogrid.nl/taxonomy/taxa/utriculariaminor,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"559",N06.02,Kleine valeriaan,Valeriana dioica,Valeriana dioica,http://ndff-ecogrid.nl/taxonomy/taxa/valerianadioica,http://ndff-ecogrid.nl/taxonomy/taxa/valerianadioica,NEE,"84599.0",Kleine valeriaan,Valeriana dioica,http://ndff-ecogrid.nl/taxonomy/taxa/valerianadioica,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"560",N06.02,Knotszegge,Carex buxbaumii,Carex buxbaumii,http://ndff-ecogrid.nl/taxonomy/taxa/carexbuxbaumii,http://ndff-ecogrid.nl/taxonomy/taxa/carexbuxbaumii,NEE,"13439.0",Knotszegge,Carex buxbaumii,http://ndff-ecogrid.nl/taxonomy/taxa/carexbuxbaumii,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"561",N06.02,Moeraskartelblad,Pedicularis palustris,Pedicularis palustris,http://ndff-ecogrid.nl/taxonomy/taxa/pedicularispalustris,http://ndff-ecogrid.nl/taxonomy/taxa/pedicularispalustris,NEE,"59533.0",Moeraskartelblad,Pedicularis palustris,http://ndff-ecogrid.nl/taxonomy/taxa/pedicularispalustris,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"562",N06.02,Moeraswespenorchis,Epipactis palustris,Epipactis palustris,http://ndff-ecogrid.nl/taxonomy/taxa/epipactispalustris,http://ndff-ecogrid.nl/taxonomy/taxa/epipactispalustris,NEE,"29469.0",Moeraswespenorchis,Epipactis palustris,http://ndff-ecogrid.nl/taxonomy/taxa/epipactispalustris,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"563",N06.02,Paardenhaarzegge,Carex appropinquata,Carex appropinquata,http://ndff-ecogrid.nl/taxonomy/taxa/carexappropinquata,http://ndff-ecogrid.nl/taxonomy/taxa/carexappropinquata,NEE,"13431.0",Paardenhaarzegge,Carex appropinquata,http://ndff-ecogrid.nl/taxonomy/taxa/carexappropinquata,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
